title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,in_balanced_dataset
Python Engineer,"GB, , London",,,,"<p>Stylect is a dynamic startup that helps helps women discover and buy shoes. We’re a small team based in London that has previously worked at Google, Techstars, Pixelmator and Rocket Internet.</p>
<p>We place a high premium on simplicity no matter what we’re working on (i.e. design, programming, marketing). We’re also a team that ships fast. We built version 1 of our app in a week, the next release (built in a month) was featured in the Apple Appstore Italy as a best new fashion app. Fast release cycles are challenging, but also very fun - which is why we love them.</p>
<p> As we’ve grown, the projects that we’re working on have grown both in scale and in technical complexity.  Stylect is looking for someone who can help us improve our backend which gathers product data; analyses/categorizes it; and shows it to thousands of users daily. Each step in the process has unique challenges that demands a strong technical background. </p>","<p>We don’t care where you studied or what your GPA in college was. But we do want someone who is:</p>
<ul>
<li>Strong with Python and No SQL Databases</li>
<li>Entrepreneurial--independent and can solve problems without being micro-managed</li>
<li>Can brainstorm multiple approaches to solving problems instead of being attached to just one way of doing things</li>
</ul><p><b>Icing on the cake</b></p>
<ul>
<li>Previous experience with Google Appengine’s Datastore (NDB)</li>
<li>Previous experience at e-commerce and app-based startups</li>
<li>Full Stack Development Experience from the Frontend (either with apps or html) all the way to the linux server.</li>
<li>An understanding of algorithms and experience with libraries to implement them</li>
<li>Experience with machine learning and natural language processing</li>
</ul>",<p>We are negotiable on salary and there is the potential for equity for the right candidate.</p>,f,t,f,Full-time,Entry level,Unspecified,Apparel & Fashion,Information Technology,f,f
Entry Level Sales,"US, OH, Cincinnati",,55000-75000,,"<p>General Summary: Achieves maximum sales profitability, growth and account penetration within an assigned territory and/or market segment by effectively selling the company’s products and/or related services. Personally contacts and secures new business accounts/customers.</p>
<p></p>
<p>CORE FUNCTIONS:</p>
<p></p>
<p>•Promotes/sells/secures orders from existing and prospective customers through a relationship-based approach.</p>
<p></p>
<p>•Demonstrates products and services to existing/potential customers and assists themin selecting those best suited to their needs.</p>
<p></p>
<p>DETAILS OF FUNCTION:</p>
<p></p>
<p>•Establishes, develops and maintains business relationships withcurrent customers and prospective customers in the assigned territory/market segment to generate new business for the organization’s products/services.</p>
<p></p>
<p>•Makes telephone calls and in-person visits and presentations to existing and prospective customers.</p>
<p></p>
<p>•Researches sources for developing prospective custom</p>
<p>ers and for information to determine their potential.</p>
<p></p>
<p>•Develops clear and effective written proposals/quotations for current and prospective customers.</p>
<p></p>
<p>•Expedites the resolution of customer problems and complaints.</p>
<p></p>
<p>•Coordinates sales effort with marketing, sales management, accounting, logistics and technical servicegroups.</p>
<p></p>
<p>•Analyzes the territory/market’s potential and determines the value of existing and prospective customers value to the organization.</p>
<p></p>
<p>•Creates and manages a customer value plan for existing customers highlighting profile, share and value opportunities.</p>
<p></p>
<p>•Identifies advantages and compares organization’s products/services.</p>
<p></p>
<p>•Plans and organizes personal sales strategy by maximizing the Return on Time Investment for the territory/segment.</p>
<p></p>
<p>•Supplies management with oral and written reports on customer needs, problems, interests, competitive activities, and potential for new products and services.</p>
<p></p>
<p>•Keeps abreast of product applications, technical services, market conditions, competitive activities, advertising and promotional trends through the reading of pertinent literature and consulting with marketing and technical service areas.</p>
<p></p>
<p>QUALIFICATIONS:</p>
<p>Demonstrated aptitude for problem-solving; ability to determine solutions for customers (consultative sales approach). Must be results-orientated and able to work both independently and within a team environment. Must possess excellent verbal and written communication skills. Proficiency in using Microsoft Office Suite applications and contact management software. Valid driver’s license.</p>",,"<ul>
<li>Great Health and Dental</li>
<li>Fast Advancement Opportunities</li>
<li>Great Income Potential</li>
<li>Competitive Bonus Program</li>
<li>Car Allowance</li>
</ul>",t,f,f,Full-time,Entry level,High School or equivalent,Financial Services,Sales,f,f
Agile Project Manager,"US, NY, New York",,,"<p>ustwo offers you the opportunity to be yourself, whilst delivering the best work on the planet for some of the biggest and most innovative brands. A culture thriving on collaboration underpins what is an amazing work smart/ live well environment.</p>
<p>We genuinely care about the work that we deliver and the people who help make it all possible. We only invest in projects, people and practices that we believe in, to ensure we remain excited about every opportunity. </p>","<p>At ustwo™ you get to be yourself, whilst delivering the best work on the planet for some of the biggest and most innovative brands. We have created something special here, with family values underpinning what is an amazing work smart/live well environment. </p>
<p>We are dedicated to delivering top notch products on time, but we can always improve and get better at what we do. Our aim is to eliminate the discipline boundaries between our designers, testers and developers and to truly excel as a team. For this we need fresh ideas and we want to inspire people in the studio to let them grow. </p>
<p>We believe in an open environment where we learn from our mistakes, so if you are a good listener and are passionate about sharing, helping and motivating people in cross functional teams - please get in touch!</p>","<h3>Skills</h3>
<p>• Experience interfacing directly with clients <br>• Experience facilitating projects in mobile and or web, apps, user interface or UX. <br>• Experience working within an Agile process <br>• Experience working with both small and bigger project teams <br>• Experience working with designers, developers and testers in cross functional teams <br>• Excellent time management <br>• Demonstrate adaptability Nice to have... <br>• Client-side experience for a major technology brand <br>• Practical awareness and understanding of user experience <br>• Confidence with budget control</p>
<h3>Responsibilities</h3>
<p>• To coach and mentor your designated team in various aspects of their work <br>• Collaborate with the family to continuously improve our working processes <br>• Support the process of resource allocation <br>• Keeping clients happy <br>• Working with business development team to further develop clients <br>• To be responsible with your team for estimates and delivery of the project <br>• Organize projects using an Agile methodology <br>• Collaboration with Account Director and Finance Director to ensure projects are resourced and budgeted effectively <br>• To interface with clients and stakeholders <br>• To understand client's complex organizational structures and to act accordingly The tools we use • Physical walls, Basecamp, Unfuddle, Jira Character Requirements • You have passion and hunger <br>• Priorities team needs ahead of own <br>• Detail oriented, well organized and self motivated <br>• Excellent communication/presentation ability, capable of inspiring both colleagues &amp; clients <br>• You are outgoing, personable, sociable and easy going <br>• You are open to criticism from your team to benefit project development and understanding <br>• You are always ready to learn and to share knowledge <br>• You can deal with pressure and can work in a fast paced environment Qualifications • 4+ years project management experience <br>• Excellent written and verbal communication skills </p>
<p><b>Nice to have</b> <br>• Project management related qualification (i.e. SCRUM)</p>",,f,t,f,,,,,,f,f
Marketing Coordinator,"GB, GBN, London",Business:Marketing,,"<p>We build software for fashion retailers, to help them make the right commercial decisions about what to sell, and how to price it. Fashion is the 4th biggest industry in the world, so this is actually a huge problem economically, as well as environmentally for everyone in the world. The Guardian called us one of the 20 hottest London startups, and we're a quickly growing team, with a product used by some of the best retailers in the world, and we're backed by the smartest investors in Europe, the same ones who backed Etsy, Dropbox, ASOS and Net-a-Porter.</p>","<h3><b>About EDITD</b></h3>
<p>EDITD runs the world's biggest apparel data warehouse, which global and local retailers use to track the market, align product assortment and trade with competitive intelligence. EDITD’s software is the market leader in real-time analytics of pricing, assortment, and deep product metrics for apparel professionals in merchandising, buying, trading and strategy. Used by the world’s best fashion retailers, like Gap, ASOS and Target, across five continents, EDITD helps buyers and merchandisers to make the right trading decisions.</p>
<h3><b>The Job</b></h3>
<p>In a direct marketing role, you'll be promoting EDITD product to both existing and potential customers. Your job is to help increase sales by raising the profile of our business, through targeted promotional marketing campaigns and strategies. Your focus will be to deliver the best customer experience through all channels including the website, email and social media. You will work directly with our Marketing Director as well as other team members to deliver top quality content to our customers and to our target audiences. We expect you to be passionate about our product and to be excited about helping us to create highly professional content and campaigns which are also engaging and fun to read.</p>
<h3><b>Key Responsibilities:</b></h3>
<ul>
<li>Developing consumer-focused communication campaigns</li>
<li>Developing nurturing campaigns for marketing leads</li>
<li>Organising industry and networking events</li>
<li>Preparing reports based on performance results</li>
<li>Updating our press site</li>
<li>Managing our social channels</li>
<li>Building rapport and establish relationship with industry professionals and clients.</li>
</ul>","<h3>Required Skills / Experience:</h3>
<ul>
<li>Ability to analyse data</li>
<li>Being able to implement company strategies and adapt tone and voice</li>
<li>An excellent command of the English language, other languages are an advantage</li>
<li>Bachelors/Masters Degree in Business or Marketing</li>
<li>At least 2 years of relevant marketing experience - building campaigns using direct marketing platforms is essential.</li>
</ul>",,f,t,f,Full-time,,,,Marketing,f,f
Full-stack Web Engineer,"US, CA, San Francisco",,,"<p>Runscope is building tools for developers working on API-driven mobile and web applications. We have a clear vision for the future of service-powered companies and the tools that will be required to build the next generation of applications. We're an experienced team backed by top-tier investors looking for people who share our passion for building great tools and want to help shape not just our products, but the company as well.</p>
<h3>Proven Work/Life Balance</h3>
<p>A lot of companies talk about work/life balance, but we've to the data to prove how important to us it is. We've posted a breakdown of over 10,000 commits over the first year of the company showing when we work. <a href=""#URL_797c4d2e836077687d4772a437e41994097547759be2e7e13a5d9c821b9b426d#"" rel=""nofollow"" class=""external""><b>See the stats</b></a>.</p>","<p>As a Web Engineer at Runscope you'll be responsible for building a world-class, high-performance web application used by our customers every day. We win or lose customers based on their interaction with the web app so it's your responsibility to make sure it's a delightful and reliable experience.</p>
<p>We're building tools we use ourselves every day, and we have high standards. You should too. We're a small team so everyone is a product manager. You will need to be able to prioritize what's important to build and understand our customers' needs at a very deep level. The tools you build will directly impact other developers so having a strong product vision is important for this role.</p>
<p>This is a role for an experienced engineer looking to have significant influence over the direction of a product.</p>","<ul>
<li>Extensive front-end web experience (HTML/CSS/JavaScript).</li>
<li>Experience working with a front-end framework like Angular, Ember, Backbone or Knockout. We're going to ask your opinion of them and you should know when they're best applied.</li>
<li>Experience with a server-side language (Python, Ruby, etc.) and web framework in a production environment.</li>
<li>Experience consuming HTTP APIs. The more the better.</li>
<li>Familiarity with Runscope Traffic Inspector and Runscope Radar.</li>
<li>Experience working on customer-facing products with real-world usage.</li>
</ul><p><b>Bonus Points For:</b></p>
<ul>
<li>An understanding of different data persistence models and technologies (Postgres, Redis, etc.).</li>
<li>Experience building developer tools, either as a product or open source.</li>
<li>Experience leading a team of developers.</li>
</ul>","<ul>
<li>Be a part of <a href=""#URL_8cd876f15a9960520f124239ce35ffd07631749bcf2f9992fc0f3e8dcfd8fb29#"">an experienced team</a> who have worked on some of the most popular web sites and developer tools.</li>
<li>Competitive salary and meaningful equity.</li>
<li>Medical, dental and vision insurance.</li>
<li>401k</li>
<li>Flexible working schedule and real work/life balance. </li>
<li>Unlimited vacation and personal time.</li>
<li>Casual work environment.</li>
<li>Spec your own equipment — tell us what you need and it will be ready to go when you walk in on your first day.</li>
<li>Spacious office space in the heart of San Francisco's SOMA neighborhood a short walk from BART or Caltrain.</li>
<li>Relocation assistance.</li>
<li>We laugh, <i>a lot</i>.</li>
</ul>",f,t,t,Full-time,Mid-Senior level,,,Engineering,f,f
BigData Consultant,"US, CA, Campbell",,,"<p>Innovative Data Science Solutions</p>
<p> </p>
<p>Insights, Pure-Play.</p>
<p>Saama Technologies is one of the largest pure-play business analytics and data services company in the industry. We have over 15 years of history implementing big data management solutions for global clients in industries such as Life Sciences, Healthcare, Insurance, Financial Services, Hi-Tech, Media and the Public sector. We serve these clients from our offices in the U.S., Europe, and India. Due to our FOCUS, we have some of the most knowledgeable consultants and data scientists.</p>
<p>Over the past few years, we have leveraged learnings from these engagements to develop Intellectual Property (IP) that enables us to rapidly deploy custom analytics solutions for our clients. Some of this IP includes a stack of tools for data discovery, collection and analysis, as well as enabling any SAP BusinessObjects Xcelsius dashboards for the iPad. Using best practices and methodology, we have reduced the cost and time needed to implement and support SAP BusinessObjects based analytics deployments, through our SAP BI Center of Excellence (BI COE). These products and capabilities give our clients significant leverage over competitors in time-to-value, because we deploy BI capabilities with SPEED at a lower cost.</p>
<p>Since April 2010, we have further pushed the envelope on developing unique IP around our data analytics and big data expertise. We have developed advanced analytics frameworks and solutions that truly incorporate the combination of INNOVATIVE thinking, industry-specific requirements and big-data technology that are designed to help you get ahead of your peers in the industry. These solutions accelerate the custom development of purpose-built analytic solutions. <a href=""#URL_df8256085b24ee64fc4699f897c53bcdbe8426cdcae4d785c945db162a1c691f#"" rel=""nofollow"" class=""external"">Saama Solutions</a> have been deployed at leading organizations such as AAA, Adobe, Cisco, Franklin Templeton, Genentech, Novartis and Synopsys in 12 to 15 weeks.</p>
<p>FOCUS, SPEED and INNOVATION are the three pillars of our core. It defines who we are and how we bring value to our clients.</p>","<p><b>About the Job:&nbsp;&nbsp;</b>&nbsp;This is a key role in the BI Platform development team.</p>
<ul>
<li>The role will interact with product owner, users and engineers, architects within team to understand business and technical aspects of product.</li>
<li>Architect, design and develop high performance, scalable, reliable system in collaboration with a team of engineers.</li>
<li>Interface with various teams to define requirements, interfaces and implementation approaches.</li>
<li>Influence architecture, design and implementation across adjacent teams.</li>
<li>Write high level and detailed technical design of the system.</li>
<li>Have ability to work in a fast paced and dynamic work environment and develop robust ETL solution. Work in Agile development model.</li>
<li>Have solid understanding of SDLC and project life cycles, strong analytical skills and communication skills.</li>
<li>Take ownership of the Hadoop based ETL processes and enhance the same and implement new features and new ETL processes.</li>
</ul>","<p><b>Basic/Minimum Job Qualifications</b></p>
<ul>
<li>Strong hands on expertise in&nbsp;<b>Hadoop, HDFS,&nbsp;&nbsp;Pig, Java and Python</b>.</li>
<li>Strong hands-on experience with the overall Hadoop eco-system (HDFS, Map Reduce, Pig/Hive&nbsp;etc)</li>
<li>Good knowledge in any of the databases like&nbsp;<b>Oracle/MySQL</b>, etc</li>
<li>Good understanding of data processing such as dependencies management, ETL job scheduling.</li>
<li>A strong team player who can be hands-on with creating framework and foundation code.</li>
<li>Working experience with large scale Hadoop environments build and support including design, performance tuning and monitoring.</li>
<li>Experience with versioning, change control management</li>
<li>Experience developing relational and dimensional database solutions using Oracle</li>
<li>Strong verbal and written communication skills.</li>
</ul>
<p></p>
<p><b>Preferred Job Qualifications</b></p>
<ul>
<li>Expertise in database programming (PL/SQL, triggers, and stored procedures)</li>
<li>Expertise in dimensional data modeling, OLAP applications and data warehousing.</li>
<li>Bachelors/Masters degree in computer science or related field</li>
</ul>",,f,t,t,,,,,,f,f
Customer Care Agent (Night Shift with Spanish),"IE, , ",,,"<p>ding* is the world’s largest top-up provider. Created to help people working abroad to support and keep in touch with loved ones back home, ding* provides the simplest, quickest and best top-up service ever. By keeping mobiles topped up, ding* is making a real difference to people’s lives.</p>
<p>We’ve our head office in Dublin and also have homes in Miami, Dubai, Bucharest, Barcelona, Dhaka and San Salvador. </p>
<p><b>What’s it like working here?</b></p>
<p>ding* is currently providing 200 people the opportunity to top-up their careers every day. If you’re looking for a regular 9-5 role then this isn’t the place for you. If you want lots of challenges, a long to do list and plenty of opportunities then we’re your kind of place. Like our service, we’re all super fast and super reliable. We’re informal but productive. You’ll be expected to get through high volumes of work and to keep coming back looking for more. In return we throw great parties and like to mark record days or other occasions with impromptu surprises.  </p>
<p>Working at ding* gives you the opportunity to work with, and learn from, genuinely passionate and driven people. Like our customers, our team members have joined us from all around the world. We come from different cultures, speak different languages yet we all share one thing in common; we care about sending top-up instantly and reliably.</p>
<p>If you’re lucky enough to join the team, you’ll get to work in a great office environment without a gimmicky music room or sleep area but with truly spectacular coffee. And the best bit……we don’t hire schmucks, only team players with a sense of fun.</p>
<p></p>","<h3><b>Customer Care Agent (Night Shift with Spanish)</b></h3>
<p>Are you looking for an opportunity to join an exciting company and be part of something really special?  Well how about this… ding* (known as ezetop in our past life) is looking for a vibrant and energetic Customer Care Agent to join our fast growing Online Operations team! Our Customer Operations Supervisors are searching for someone who is quick thinking, patient and passionate about providing a professional, world class Customer Care experience for our customers around the globe.</p>
<p>Comprehensive on-going training will be provided but a positive, proactive attitude is the key to being successful in this role! You’ll also be contributing ideas and identifying key trends in queries from our customers and relaying this to the business.</p>
<p></p>
<p><b>Here’s what you’ll do day to day:</b></p>
<ul>
<li>Manage and resolve customer and client queries raised by phone, email and live chats</li>
<li>Identify emerging trends and issues and escalate these to your Team Lead</li>
<li>Ensure our customers take an awesome experience away from ding* whether online or in retail locations</li>
<li>Ensure responses are sent in a timely, professional manner and meet all established quality and customer satisfaction metrics</li>
<li>Provide feedback and information to the business to ensure we continually improve our customer experience!</li>
<li>Be part of our 24/7 Customer Care Team</li>
</ul><p></p>
<p><b>And here’s what we’re looking for:</b></p>
<ul>
<li>Fluent written and spoken Spanish and English</li>
<li>Knowledge of Microsoft technologies – Outlook, Word, Excel</li>
<li>A desire to learn, continually improve and a passion for troubleshooting are essential</li>
<li>Strong time management skills, high attention to detail, and the ability to prioritise workload</li>
<li>A good attitude to customer care is vital!</li>
<li>Ability to work and contribute as part of a small but dedicated and fast-growing team</li>
</ul><p></p>
<p><b>P.S.</b></p>
<p>• Previous Customer Care or night shift experience would be great!</p>
<p>• Experience working with CRM and contact centre software is an advantage</p>
<p>• Additional languages (Italian or French would be a distinct advantage)</p>
<p>• Knowledge of e-commerce, online payments, and/or fraud would be fantastic</p>
<p><b> </b></p>
<p><b>So what’s it like working here?</b></p>
<p>ding* is currently providing 200 people the opportunity to top-up their careers every day. If you’re looking for a regular 9-5 role then this isn’t the place for you. If you want lots of challenges, a long to do list and plenty of opportunities then we’re your kind of place. Like our service, we’re all super fast and super reliable. We’re informal but productive. You’ll be expected to get through high volumes of work and to keep coming back looking for more. In return we throw great parties and like to mark record days or other occasions with impromptu surprises.  </p>
<p>Working at ding* gives you the opportunity to work with, and learn from, genuinely passionate and driven people. Like our customers, our team members have joined us from all around the world. We come from different cultures, speak different languages yet we all share one thing in common; we care about sending top-up instantly and reliably.</p>
<p>If you’re lucky enough to join the team, you’ll get to work in a great office environment without a gimmicky music room or sleep area but with truly spectacular coffee. And the best bit……we don’t hire schmucks, only team players with a sense of fun.</p>
<p> </p>
<p><b>ding*</b></p>
<p>ding* is the world’s largest top-up provider. Created to help people working abroad to support and keep in touch with loved ones back home, ding* provides the simplest, quickest and best top-up service ever. By keeping mobiles topped up, ding* is making a real difference to people’s lives.</p>
<p>We’ve our head office in Dublin and also have homes in Miami, Dubai, Bucharest, Barcelona, Dhaka and San Salvador.</p>
<p> </p>",,,f,t,t,Full-time,,,Telecommunications,Customer Service,f,f
English Teacher Abroad (Conversational),"US, MN, Duluth",,,<p>We help teachers get safe &amp; secure jobs abroad :)</p>,"<p>Play with kids, get paid for it.</p>
<p>Vacancies in Asia</p>
<p>$1500 USD + monthly ($200 Cost of living)</p>
<p>Housing provided<br>Airfare Reimbursed<br>Excellent for student loans/credit cards</p>
<p>Gabriel Adkins (#URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7#)<br><a href=""#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#"">#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#</a></p>
<p>We are looking for friendly people. If you do not plan to take part in a 3-5 minute interview, kindly do not waste your time applying :-)</p>","<p>University degree required. TEFL / TESOL / CELTA, and/or teaching experience preferred</p>
<p>Canada/US passport holders only</p>
<p></p>
<p></p>",<p>See job description</p>,f,t,t,Contract,Entry level,Bachelor's Degree,Education Management,Education,f,f
Junior System Test Analyst,"GB, CMD, London",Technology,19000-19000,"<p>The Technical Team and offering at VML London has a very strong heritage dating back to the mid-nineties when the London office was founded. Back in those days we were one of the first few purely digital marketing agencies in London; and back then things were a lot more technically driven than they often are today; as such the Technology team here continues to enjoy a strong strategic influence on the work that the agency undertakes and the clients that we engage.</p>
<p>It just works.</p>
<p>Technology is brilliant when you don’t have to think about it. That’s what we strive for in our solutions. Our technology team has a strong strategic influence on the work we undertake and are involved as soon as the brief lands. They stay involved throughout strategy, creative concepting and design. Acting as important enablers, we bring new and emerging technology to the table to successfully marry the requirements of our clients with the vision of our creatives.</p>
<p>Open standards, open minds.</p>
<p>We aim to deliver the most elegant technical solution for your budget, and maintain a technology agnostic approach to development in order to achieve that. Technology can be expensive, both in terms of hard costs and costly mistakes, so we’re as careful with your money as we are with our own.   Perhaps that’s why some of our clients have been with us for over 10 years.<br> <br>When faced with a new problem our first instinct is always to see if someone else has already solved it. As such, the solutions we design are built on the rich eco-system of open source software (OSS); the proven and battle-tested kind that we know will not just do the job quickly and cost-effectively, but also robustly. Where OSS isn't appropriate we always favour solutions that are built to open standards that we know will integrate well with other technologies.</p>
<p>Strong partnerships.</p>
<p>Our work is complemented by strong partnerships with technology vendors and suppliers.   Proven over time, our established strategic relationships with many of the leaders in software, hardware and other technology solutions help ensure we’re able to continue to offer best-in-class technical solutions for our clients.</p>
<p>What we do:</p>
<ul>
<li>High availability and high performance website architecture &amp; development</li>
<li>Web content management solutions</li>
<li>Creative technology ideation</li>
<li>Content optimisation, search and analytics</li>
<li>High volume, multi-locale email campaigns</li>
<li>Mobile optimisation</li>
<li>Localisation</li>
</ul>","<p>At VML, testing is an integral part of our software development process. Beyond merely a final quality assurance check before a project goes out the door, we assure quality by building in testing and planning for testing from day one of our projects. Using both manual inspection and automated methods, our software has been tested thousands of times before going live. The increasingly complex high availability – high performance web applications, mobile sites and applications and digital experiences we build require quality software engineering and the VML system testing team is our backstop to make sure our development is as good as can be.</p>
<p>As such VML are looking for a Junior System Test Analyst to join our team and help improve the quality level even further. We are looking for someone who is passionate about testing and quality. As a Digital Agency, the range of VML’s products include everything from eCRM and eNewsletter campaigns, social networking apps, complex mobile websites as well as some of the UK’s most popular websites, and as part of our testing team you will be working across all of these, often at the same time!</p>","<ul>
<li>Execute requirements based manual test cases</li>
<li>Contribute to test plans</li>
<li>Assist development team with early and often testing of work in progress software</li>
<li>Execute test methods as proscribed by test plans:  functional, end-user testing, ad-hoc and exploratory testing</li>
<li>Communicate with technical and non-technical colleagues</li>
<li>Communicate with customer testing and QA stakeholders</li>
<li>Understand the software development process/life cycle</li>
<li>Work with Project Managers, Departmental Heads and our Creative Services team to resource plan and allocate testing work</li>
</ul><p><b>Skills:</b></p>
<ul>
<li>Good at finding well hidden software defects through exploratory testing</li>
<li>Excellent organizational, interpersonal, presentation and communication skills</li>
<li>Knowledge of OWASP security and penetration testing techniques including testing for XSS and SQL injection attacks</li>
<li>Ability to work on multiple tasks against deadlines and shifting priorities and comfortable dealing with uncertainty, ambiguity and change</li>
<li>Quality assurance of digital production items such as rich email newsletters, static HTML websites and interactive experiences</li>
<li>Holds a Bachelor’s degree in Computer Science, Software Engineering, or a related field or equivalent work experience</li>
<li>An ISTQB qualification or working towards it an advantage.</li>
</ul><p><b>Experience</b></p>
<ul>
<li>Testing on various web browsers including older browsers back to IE6, including use of browser virtualisation solutions such as BrowserStack</li>
<li>Cross browser testing on different platforms (Mac and PC, Tablets, mobile phones)</li>
<li>Knowledge of defect life cycle, V model and has worked with defect tracking applications e.g. Jira, Bugzilla</li>
<li>Use of Jira and other issue tracking tools</li>
<li>Recording of web testing tools and automation through script recording with Selenium IDE and execution of WebDriver automated regression tests</li>
<li>Exposure to Agile software development</li>
<li>Exposure to the Waterfall software development model</li>
<li>Interest in the wider field of quality management in software engineering</li>
<li>Contribution to estimating process for testing activities</li>
<li>Experience in web standards compliance testing including validation and accessibility testing in accordance with W3C web content accessibility guidelines</li>
<li>Java programming and Linux system administration skills an advantage</li>
</ul><p><b>Key relationships:</b></p>
<ul>
<li>Head of Technical department, for testing of web and mobile sites and applications</li>
<li>Project Managers, for creating test plans and estimates</li>
<li>Creative Director, for quality assurance of digital production work</li>
</ul>",,f,t,t,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Engineering,f,f
Head of Community,"GB, LND, London",,,"<p>Seedcamp is Europe's <a href=""#URL_53926587492b09ed231acbd255d5478ca2dcd94ce78781ed968b4a064faa6ece#"" rel=""nofollow"" class=""external"">leading micro-seed investment fund</a> and mentoring program. Since launching in 2007, our family now includes <a href=""#URL_b8e02a9613db4597270712f08c5924e2c1943da1b9866ca537039dc7274192f3#"" rel=""nofollow"" class=""external"">70 of Europe's most promising startups</a> with several acquisitions (<a href=""#URL_60a2cf4a14e4a00c6f13e9488d38bb7f28c7f11286ec8fbd1b66b6b6c3052bf5#"" rel=""nofollow"" class=""external"">Ubervu</a> by Hootsuite, <a href=""#URL_87001924e65cfd0019c3cac6e1475077ac02b5ae7c92d027aedd690c1b61b8ca#"" rel=""nofollow"" class=""external"">Mobclix bought</a> by Velti, <a href=""#URL_c4f8ce78f41c1c8d18fa1879ff72a3f5e303d79212c4ce37268cc164afc46330#"" rel=""nofollow"" class=""external"">RentMineOnline bought</a> by RealPage).</p>
<p>Backed by an awesome <a href=""#URL_da65d325cd94fbba4281096c7c91be1394ac112b3882b3b8029244c52ca8c047#"" rel=""nofollow"" class=""external"">team</a>, <a href=""#URL_6f3d759e04ea3c65940936b826763b08ae4573f921185305590f14d540294418#"" rel=""nofollow"" class=""external"">board</a>, and group of <a href=""#URL_891e98723acd012048f9fa04023d455713d966df0952a1699a1ddf932a208055#"" rel=""nofollow"" class=""external"">investors</a>, we are incredibly active and run <a href=""#URL_6e74d4769c0aa99e39b186c343cc7883a3f0d69df364ea06ec830a92c1686c5b#"" rel=""nofollow"" class=""external"">events</a> and invest in startups throughout Europe every month.</p>","<p></p>
<p><b>The Job</b></p>
<ul>
<li>Build relationships with the mentor, investor, media, and partner ecosystem – communicate and manage for a long-term relationship with Seedcamp</li>
<li>Work closely with entrepreneurs applying to and participating in Seedcamp programme</li>
<li>Organizing and involving mentors for Seedcamp Week, Academy, US trip</li>
<li>Speak about Seedcamp at public events - both Seedcamp and non-Seedcamp events</li>
<li>Use startup products, stay up to date and knowledgeable about what new products and tech are emerging</li>
<li>Support the Seedcamp selection and investment process</li>
<li>Often the first point of contact for our portfolio</li>
</ul><p></p>
<p><b>About You</b></p>
<ul>
<li>Live and breathe technology and startups and are passionate about empowering founders and growing the startup community</li>
<li>Combination of gravitas (with the network) and being a peer with founders</li>
<li>Gregarious, engaging, smart, high integrity</li>
<li>Have experience working in startup environment, you have solid knowledge about marketing, growth and product as relevant for startups.</li>
<li>Experience with managing content (events, publications/blogs, etc).</li>
<li>Experience collecting and analysing metrics - you can data crunch with our startups.</li>
</ul><p></p>
<p><b>Bonus Points</b></p>
<ul>
<li>Talk the talk and walk the walk with startup founders</li>
<li>Work with great tech tools</li>
</ul><p></p>
<p>To apply for the role please upload an up-to-date copy of your CV with a short covering note. Be sure to include links to your work and show us how awesome a tech writer you are.</p>
<p>Questions: careers [at] #URL_0a8a7864538bfc4aeac7fb8016ef568e0acfdfc39a7907bd06076e93132d669c#</p>",,,f,t,f,Full-time,Not Applicable,Unspecified,Venture Capital & Private Equity,Other,f,f
